r,g,b,RGB,Spanish_Judgment_id,Spanish,Country,EN_ES,Russian_Judgment_id,Russian,Country,EN_RU,Portuguese_Judgment_id,Portuguese,Country,EN_PT,German_Judgment_id,German,Country,EN_DE,French_Judgment_id,French,Country,EN_FR,Chinese_Judgment_id,Chinese,Country,EN_ZH,Italian_Judgment_id,Italian,Country,EN_IT,Korean_Judgment_id,Korean,Country,EN_KO,Japanese_Judgment_id,Japanese,country,EN_JA,name,short_name,med_name,cx,cy
2,22,69,22269,522124698,azul,MEX,Blue,522452661,Синий,UKR,Blue,556634799,verde,BRA,Green,522362668,schwarz-blau,AUT,Black And Blue,522859919,bleu,FRA,Blue,556685743,蓝色,MYS,Blue,556713751,blu,ITA,Blue,539783839,청색,KOR,Blue,544953043,非常にダークブルー,JPN,Very dark blue,Dark Navy Blue,Navy Blue,Navy Blue,281.5951991,268.6034027
0,223,38,22338,522068497,Verde,VEN,Green,522679578,зеленый,RUS,Green,556692843,verde,BRA,Green,522387784,grün,DEU,Green,522804137,vert,FRA,Green,522133864,亮綠色,TWN,Bright Green,556648591,ocra verde chiaro,ITA,Ocher Light Green,530791537,초록색,KOR,Green,538629061,緑,JPN,Green,Bright Neon Green,Green,Bright Green,203.1434037,425.5276052
0,25,244,25244,522074961,azul,MEX,Blue,522384124,синий,UKR,Blue,522102965,azul,BRA,Bright Medium Blue,522125697,königsblau,DEU,Royal Blue,522649244,bleu,FRA,Blue,522088450,藍色,HKG,Blue,556693808,blu,ITA,Blue,537401654,진한파란색,KOR,Dark blue,542547419,ブルー,JPN,Blue,Dark Bright Blue,Blue,Electric Blue,185.2837969,115.3888375
0,254,45,25445,522066789,verde,ARG,Green,522362861,ярко-салатовый,UKR,Bright Green,522133070,verde brilhante,BRA,Green,522435495,Grün,DEU,Green,522620700,vert,FRA,Green,522192839,绿色,CHN,Green,522449150,verde acceso fosforescente,ITA,Green,524820355,녹색,KOR,Green,543809241,みどり,JPN,Green,Highlighter Green,Green,Bright Green,166.6910029,480.6895841
27,2,39,27239,556654486,negro fuerte,MEX,Strong Black,556683013,Чёрный,RUS,Black,556658906,verde,BRA,Green,522290034,schwarz,DEU,Black,556897023,bleu nuit,FRA,Midnight Blue,522286812,黑,CHN,Black,556780500,nero,ITA,Black,542346906,검은색,KOR,Black,542550994,ミッドナイトブルー,JPN,Midnight blue,Charcoal Black,Midnight,Dark Purple,308.0626667,275.0362201
2,74,64,27464,522194684,verde oscuro,ARG,Dark Green,522565074,Зелёный,RUS,Green,556643031,verde,BRA,Green,522168205,förstergrün,DEU,Green Ranger,525115298,vert,FRA,Green,556669751,军绿色,MYS,Army Green,522680365,nero,ITA,Green,556727869,녹색,KOR,Green,527784609,深い緑,JPN,Dark green,Dark Sea Foam Green,Teal,Blue Green,266.8604814,289.3841537
0,28,200,28200,522092208,azul,PRI,Blue,522459123,синий,RUS,Blue,522180816,castanho,PRT,Blue,522379375,kräftiges blau,AUT,Strong Blue,523243635,BLEU,FRA,Blue,522109457,深蓝色,HKG,Navy Blue,522792412,blu,ITA,Blue,542454327,파랑색,KOR,Blue,544956905,青は非常に子供の頃,JPN,Blue is very childhood,Bright Royal Blue,Navy,Indigo Blue,235.5639957,163.1593903
29,1,96,29196,522097782,azul,ECU,Blue,522386077,темно-синий,UKR,Dark Blue,556741600,v,PRT,V.,522349806,dunkelblau,DEU,Dark Blue,523847576,bleu nuit,FRA,Midnight Blue,522128862,深藍色,TWN,Navy Blue,522652862,nero,ITA,Blue,541349381,파랑색,KOR,Blue,544153506,藍,JPN,Indigo,Dark Violet Blue,Blue,Simple Purple,296.5172725,220.3358191
33,68,2,33682,522099921,verde aceituna,PRI,Olive Green,523058906,зелёный папоротник,RUS,Green Fern,522124002,verde,BRA,Green,522445049,Grün,DEU,Green,522814500,vert,FRA,Green,522191938,深绿,IDN,Dark Green,556694857,vered,ITA,Vered,557472147,진한녹색,KOR,Dark green,544556513,深緑,JPN,Dark green,Dark Olive Green,Forrest Green,Forrest Green,305.0004522,300.6614575
3,37,13,33713,522143476,VERDE OSCURO,DOM,Dark Green,523198843,темно-зеленый,UKR,Dark Green,556659724,verde,BRA,Green,522605273,dunkel grün,DEU,Dark Green,527631801,vert,VEN,Green,522123179,黑色,TWN,Black,522631134,verde scuro,ITA,Dark,537900177,검은색,KOR,Black,535634494,黒,JPN,Black,Shaded Moss Green,Dark Evergreen,Dark Evergreen,315.8540817,286.104875
35,2,25,35225,522172229,CAFE INTENSO,MEX,Strong Coffee,522698386,яркий черный,RUS,Bright Black,556726428,verde-escuro de amêndoa,PRT,Dark Green Almond,522441188,Schwarz,DEU,Black,556827387,violet foncet,FRA,Purple Lock Cover,522081647,黑色,HKG,Black,556750408,nero,ITA,Black,560424376,검정색,KOR,Black,556732706,黒,JPN,Black,Dark Blackish Purple,Plum,Black,319.3773843,291.1113518
3,53,76,35376,522088002,azul obscuro,MEX,Dark Blue,522806798,темное ночное небо,BLR,The Dark Night Sky,556643278,verde,BRA,Green,522394130,dunkelblau,DEU,Dark Blue,522804128,bleu,FRA,Blue,556667694,深蓝色,IDN,Dark Blue,556762454,blu scuro,ITA,Dark Blue,536182012,진한파란색,KOR,Dark blue,556796645,紺,JPN,Navy blue,Dark Teal Green,Blue,Dark Blue,275.1831943,270.1679967
3,57,58,35758,522153815,verde monte,PRI,Green Mount,522457686,темно зеленый,RUS,Dark Green,522392737,verde,BRA,Cadetblau,522668987,dunkelgrün,DEU,Dark Green,556984369,bleu noir,FRA,Blue Black,556657439,深綠色,TWN,Dark Green,522494061,blu scuro,ITA,Blue,557599519,어두운청록,KOR,Dark green,540619978,みどり,JPN,Green,Dark Jade Green,Pine Green,Pine Green,303.5073078,282.3219961
3,79,32,37932,522067189,verde sucio oscuro,MEX,Dark Dirty Green,522527752,темно зеленый,RUS,Dark Green,556639606,verde,BRA,Green,522320056,dunkelgrün,DEU,Dark Green,523194777,vert bouteille,FRA,Bottle Green,522124205,绿色,HKG,Green,556701425,Verde primavera scuro,ITA,Dark Green Spring,557045731,짙은녹색,KOR,Dark green,556927108,ダークグリーン,JPN,Dark Green,Christmas Green,Dark Green,Hunter Green,269.5769795,303.986671
3,81,88,38188,522163826,AZUL PETROLEO,DOM,Oil Blue,556646512,сине-зеленый,UKR,Blue-Green,522326055,Chumbo,BRA,Simple Green,522525431,blau,DEU,Blue,527381720,bleu petrole,FRA,Blue Oil,522145807,深蓝色,IDN,Navy Blue,522673222,verdone chiaro,ITA,Green,557925063,짙은 하늘색,KOR,Dark blue,547845039,マリンブルー,JPN,Marine blue,Rainforest Green,Dark Blue,Dark Teal,253.3009386,280.7685331
3,83,35,38335,522087458,verde abscuro,MEX,Green Abscuro,522673665,темно-зеленый,EST,Dark Green,522592341,verde escuro,PRT,Lime Green,522478516,Grün,DEU,Green,522804394,vert,FRA,Green,522111114,深綠色,TWN,Dark Green,556671862,verde,ITA,Green,537222224,녹색,KOR,Green,538627266,こいみどり,JPN,Green Shoi,Hunters Green Camo,Hunter Green,Hunter Green,264.1325083,302.1669079
39,98,0,39980,522073660,verde oscuro,ARG,Dark Green,522385833,темно-зеленый,UKR,Dark Green,522246201,Q,BRA,Dark Green,522112211,Dunkles Olivgrün,DEU,Dark Olive Green,522809987,vert,FRA,Green,522172673,草绿色,HKG,Grass Green,522225415,verde,ITA,Dark Green,540650312,진녹색,KOR,Dark green,523579143,緑,KOR,Green,Light Hunter Green,Green,Grassy Green,280.9696843,327.5896922
4,196,7,41967,522082215,verde,ARG,Green,523057072,зеленый,RUS,Green,556650956,verde,BRA,Green,522334944,grün,DEU,Green,522426076,vert,FRA,Green,556656908,綠色,TWN,Green,556700732,verde,ITA,Green,524751967,녹색,KOR,Green,544119528,緑,JPN,Green,Dark Pastel Green,Lime,Scream Green,250.5691127,409.025386
42,3,13,42313,522139067,negro,ARG,Black,522541489,коричневый,UKR,Brown,556796898,verde claro,PRT,Light Green,522361396,dunkelbraun,DEU,Dark Brown,523878584,marron foncé,FRA,Dark Brown,556653272,茶褐色,MYS,Dark Brown,556692431,marone,ITA,Brown,542628416,초콜릿색,KOR,Chocolate,556714232,暗茶色,JPN,Dark brown,Chocolate Brown,Chocolate,Chocolate,341.0938326,295.3343391
43,6,23,43623,556673190,color negro,COL,Color Black,522561587,Чёрный,RUS,Black,556862603,Verde claro,PRT,Light Green,522376964,dunkelbraun,DEU,Dark Brown,522863533,noir,FRA,Black,522137913,茄子绀,MYS,Eggplant Purple,556670226,nero,ITA,Black,560405367,검정,KOR,Black,539588963,暗い紫,JPN,Dark purple,Dark Maroonish Purple,Black,Black,331.2224747,283.9193593
44,91,2,44912,522326225,verde árbol de navidad,PRI,Green Christmas Tree,522350932,лист дуба,RUS,Oak Leaf,556634796,verde,BRA,Green,522439519,waldgrün,DEU,Forest Green,523164750,vert,CHE,Green,522232090,绿,CHN,Green,522412589,j,ITA,Green,537402300,녹색,KOR,Green,545475550,濃い緑,JPN,Dark green,Dark Spruce Green,Olive,Scott Green,274.1525868,298.6452917
4,5,133,45133,522173132,azulino,ARG,Bluish,522347339,Кобальт синий,UKR,Cobalt Blue,522101910,azul marinho,BRA,Bright Blue,522368640,blau,DEU,Blue,522773241,bleu,FRA,Blue,522137793,深藍色,TWN,Navy Blue,522468676,blu,ITA,Blue,535566698,진한파랑,KOR,Dark blue,535621905,暗い青,JPN,Dark blue,True Royal Blue,Blue,Royal Blue,272.5869827,208.6301049
46,34,5,46345,522071920,cafe,ECU,Coffee,522931881,темно-коричневый,UKR,Umber,556809409,verde claro,PRT,Light Green,522321702,grauschwarz,DEU,Gray Black,522698501,noir aniline,FRA,Aniline Black,556685516,褐色,MYS,Brown,556698977,Nero,ITA,Black,557601874,어두운 갈색,KOR,Dark brown,539912810,茶色,JPN,Brown,Moonless Night,Walnut,Dark Brown,304.5442996,238.2207519
4,70,14,47014,522094253,verde,MEX,Green,522512238,темно-зеленый,UKR,Dark Green,522136741,verde,BRA,Green,522211081,dunkelgrün,DEU,Dark Green,522620144,vert,FRA,Green,556667458,军绿色,MYS,Army Green,522199872,Verde notte,ITA,Green,556669171,녹색,KOR,Green,538611113,緑,JPN,Green,Robin Hood Green,Green,Pine Green,282.0061174,315.6762765
4,93,28,49328,522080971,verde oscuro,DOM,Dark Green,522677881,темно зеленый,RUS,Dark Green,556649450,verde,BRA,Green,522623680,Dunkelgrün,DEU,Dark Green,522797500,vert,FRA,Green,522236464,深綠色,HKG,Dark Green,556726345,verde,ITA,Green,531939325,초록색,KOR,Green,542418512,緑色,JPN,Green,Perfectly Green,Green,Emerald Green,268.5899538,324.2586189
49,4,60,49460,522113018,negro tormentoso,ECU,Stormy Black,522357133,Чёрный,RUS,Black,556783306,verde,PRT,Green,556641011,lila,DEU,Purple,526555133,ultra-violets,CHE,Ultraviolet,522352824,靛色,IDN,Indigo,556839034,viola,ITA,Violet,536960963,보라색,KOR,Purple,556713720,暗紫色,JPN,Purple-black,Royal King Purple,Black,Durklepurple,328.2168716,261.2309677
5,11,51,51151,522104688,azul marino oscuro,ARG,Dark Navy,523023058,темно-фиолетовый,RUS,Plum,556781747,verde,PRT,Green,522513577,tiefdunkles blau,DEU,Deep Dark Blue,522412595,bleu marine,FRA,Navy Blue,522099474,深藍色,TWN,Navy Blue,556702312,blu,ITA,Blue,557673447,푸른색,KOR,Blue,556923115,ダークブルー,JPN,Dark Blue,Deep Dark Blue,Blue,Pinstripe Blue,313.6711033,276.5442241
51,52,6,51526,522093532,verde fuerte,MEX,Strong Green,522378411,черный,RUS,Sable,556787053,verde claro,PRT,Light Green,522661944,baumgrün,DEU,Green Tree,522573663,vert foncé,FRA,Dark Green,556670328,军绿色,MYS,Army Green,522416461,H,ITA,Dark Brown,556729206,녹색,KOR,Green,556705033,暗いみどり,JPN,Dark green,Not Quite Black,Forst Green,Forst Green,310.0459018,304.4972192
5,155,0,51550,522089494,verde fuerte,MEX,Strong Green,522544542,зеленый,UKR,Green,556655351,verde,BRA,Green,522390178,grün,DEU,Green,522797501,vert,FRA,Green,522274430,绿色,IDN,Green,522430704,verde,ITA,Green,524735501,녹색,KOR,Green,539748894,ブライトグリーン,JPN,Bright Green,Green Of Nature,Green,Grass Green,267.8444413,373.8006232
51,78,2,51782,522209078,verde,ARG,Green,522544986,темно-зеленый,RUS,Dark Green,556768873,verde,PRT,Green,522703979,grün,DEU,Green,527005892,vert foncé,VEN,Dark Green:,522109456,军绿色,HKG,Army Green,556660054,verde,ITA,Green,556736481,녹색,KOR,Green,544967613,緑,JPN,Green,Deep Jungle Green,Moss,Olive Green,312.6934442,309.7760024
52,33,4,52334,522107787,cafe,MEX,Coffee,522804591,черно-коричневый,BLR,Black-Brown,556730032,verde-escuro de amêndoa,PRT,Dark Green Almond,522672787,Schwarz,DEU,Black,522335382,marron,FRA,Brown,522269366,深棕色,IDN,Dark Brown,522086516,antracite scuro,ITA,Iron Color,535989202,어두운 갈색,KOR,Dark brown,549035378,茶,JPN,Brown,Chocolate Brown,Dirt,Black Brown,326.7505264,272.3813662
52,97,5,52975,522069716,verde soldado,MEX,Green Soldier,522522859,темно-зеленый,UKR,Dark Green,556715389,verde-escuro de amêndoa,PRT,Dark Green Almond,522136184,tannen grün,DEU,Fir Green,522800733,vert,FRA,Green,522087762,綠色,HKG,Green,522488578,verde,ITA,Green,557467814,진한녹색,KOR,Dark green,556907693,グリーン,JPN,Green,Deep Sage Green,Green,Forest Green,300.4081082,327.841824
5,46,93,54693,522090601,azul oscuro,DOM,Dark Blue,522550470,синий,UKR,Blue,556702645,verde,BRA,Green,522474028,rembrand blau,DEU,Rembrandt Blue,524341246,Bleu foncé,CHE,Dark Blue,522176829,碧蓝,IDN,Blue,522066719,blu di prussia,ITA,Blue,534240487,곤색,KOR,Navy,556710620,紺,JPN,Navy blue,Patriotic Blue,Blue,Dark Blue,255.344998,252.9068441
0,56,187,56187,522062657,azul,ARG,Blue,522371731,Синий,RUS,Blue,522125992,azul,PRT,Blue,522464188,blau,DEU,Blue,522405165,bleu,FRA,Blue,522264173,青色,HKG,Blue,522235074,blu,ITA,Blue,524828457,파랑,KOR,Blue,532042523,あお,JPN,Blue,Dark Ocean Blue,Blue,Sky Blue,204.1798688,181.4236457
56,32,1,56321,522065397,cafe,MEX,Coffee,522650546,тёмно-коричневый,UKR,Umber,556776495,verde,PRT,Green,522428759,dunkelbraun,AUT,Dark Brown,522412591,marron,FRA,Brown,522227775,棕色,IDN,Brown,522065160,nero,ITA,Brown,539672650,갈색,KOR,Brown,533777360,茶色,JPN,Brown,Deep Chocolate,Espresso,Chocolate,347.1461468,292.4895917
5,68,23,56823,522098677,Verde oscuro,MEX,Dark Green,522494786,темо-зеленый,UKR,Temo Green,556746090,v,PRT,V.,522182354,grün,DEU,Green,523388045,vert,FRA,Green,522244531,绿色,IDN,Green,556699150,verde scuro,ITA,Dark Green,556723805,녹색,KOR,Green,533774010,緑,JPN,Green,Dark Dark Green,Darkened Green,Darkened Green,289.0737718,305.0646923
5,80,51,58051,522100339,verde oscuro,DOM,Dark Green,522952519,зеленый,RUS,Green,556775003,verde,PRT,Green,522267011,dunkel moosgrün,DEU,Dark Green Moss,522366605,vert foncé,FRA,Dark Green:,522225431,墨绿色,IDN,Dark Green,522681083,verde,ITA,Green,542505795,암록색,KOR,Dark green,542112079,みどり,JPN,Green,Medium Hunters Green,Green,Forest Green,264.7520827,310.087821
59,0,20,59020,522073302,Bordó oscuro,DOM,Dark Burgundy,522533322,темно-коричневый,UKR,Umber,556780492,verde,PRT,Green,522405579,Braun,DEU,Brown,525140183,rouge marron,FRA,Red Brown,522229606,黑,CHN,Black,556761715,testa di moro,ITA,Dark Brown,531954250,갈색,KOR,Brown,546912151,赤紫,JPN,Purplish red,Big Foot Brown,Brown,Brown,341.2209841,268.2099238
59,31,6,59316,522186734,cafe oscuro,MEX,Dark Brown,522677932,коричневый,RUS,Brown,556646139,verde,BRA,Green,522179226,signalbraun,DEU,Signal-Brown,556697132,marron,FRA,Brown,522245266,棕色,IDN,Brown,556670176,marrone,ITA,Brown,531954255,갈색,KOR,Brown,545394671,茶色,JPN,Brown,Chocolate Brown,Brown,Brown,340.9075019,276.9577908
59,49,1,59491,522085062,marron negroide,PRI,Brown Negroid,522442626,зеленовато-коричневый,RUS,Greenish-Brown,556784239,verde,PRT,Green,522423578,braun,DEU,Brown,525764799,brun,FRA,Brown,522242892,深橄榄,IDN,Dark Olive,556708663,marrone,ITA,Brown,557920208,갈색,KOR,Brown,540898638,茶色,JPN,Brown,Greenish Black,Greenish Brown,Greenish Brown,335.1312495,291.3290111
